Plants Non-Toxic to Cats
Mary-Bud | Marigold, Garden Marigold, Gold bloom, Pot Marigold  | Calendula officinalis | Compositae
Measles Plant | Polka Dot Plant, Flamingo Plant, Baby’s Tears, Freckle Face  | Acantha | Acanthaceae
Metallic Peperomia |   | Peperomia caperata | Piperaceae
Mexican Firecracker |   | Echeveria Pulinata | Crassulaceae
Mexican Rosettes |   | Echevaria | Crassulaceae
Mexican Snowballs |   | Echevaria | Crassulaceae
Miniature Date Palm | Pygmy Date Palm, Robellini Palm  | Phoenix robellinii | Arecaceae
Miniature Fish Tail | Parlor Palm  | Chamaedorea elegans | Palmae
Miniature Maranta |   | Calathea micans | Saxifragaceae
Miniature Marble Plant |   | Neoregelia spectabilis | Bromeliaceae
Mistletoe Cactus |   | Rhipsalis cassutha | Cactaceae
Mockernut Hickory | Squarenut  | Carya tomentosa | Juglandaceae
Money Tree | Money Plant  | Pachira aquatica | Malvaceae
Mosaic Plant | Jewel Plant, Siver Nerve, Nerve Plant, Silver Threads  | Bertolonia mosaica | Melastomataceae
Mosaic Vase |   | Guzmania musaica | Bromeliaceae
Moss Agate | Flame Violet, Red Violet, Flame African Violet, Lady Lou  | Episcia reptans | Gesneriaceae
Moss Campion | Bladder Campion, Cushion Pink, Dwarf Silene, Catchfly  | Silene acaulis | Caryophyllaceae
Moss Fern | Club Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss, Cushion Moss  | Selaginella kraussiana | Selaginellaceae
Moss Phlox |   | Phlox subulata | Polemoniaceae
Mossy Campion | Bladder Campion, Cushion Pink, Dwarf Silene, Catchfly, Moss Campion  | Silene acaulis | Caryophyllaceae
Mother Fern | King and Queen Fern, Spleenwort, Parsley Fern, Hen and Chickens Fern  | Asplenium bulbiferum | Polypodaceae
Mother of Pearl | Ghost Plant  | Secum weinbergii | Crassulaceae
Mother Spleenwort | King and Queen Fern, Spleenwort, Parsley Fern, Hen and Chickens Fern, Mother Fern  | Asplenium bulbiferum | Polypodaceae
Mountain Camellia | Showy Camellia  | Stewartia ovata | Theaceae
Mountain Grape | Oregon Grape, Oregon Grape Holly, Mahonia Aguifolium, Holly-Leaved Berry, Mahonia  | Mahonia aquifolium | Berberidaceae
Mulberry Bush Greenbrier |   | Smilax sp. | Liliaceae
Mulberry Tree |   | Morus sp. | Moraceae
Musa Paradisiaca | Banana, Edible Banana, Plantain  | Musa acuminata | Musaceae
Muscari Armeniacum | Grape Hyacinth  | Muscari armeniacum | Hyacinthaceae
Muskmelon |   | Cucumis melo | Cucurbiaceae
Nasturtium | Nose-Twister, Nose-Tweaker  | Tropaeolum majus | Tropaeolaceae
Natal Plum |   | Carissa grandiflora | Apocynaceae
Neanthe Bella Palm | Neanthebella  | Chamaedorea elegans | Araceae
Nematanthus spp. | Candy Corn Plant  | Hypocyrta nummularia | Gesneriaceae
Neoregelia | Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Ossifragi Vase, Miniature Marble Plant, Aregelia  | Neoregalia spp. | Bromiliaceae
Nerve Plant | Jewel Plant, Silver Nerve, Mosaic Plant, Silver Threads  | Fittonia verschaffeltii | Acanthaceae
Night Blooming Cereus | Queen of the Night, Pitaya, Honolulu Queen  | Hylocereus undatus | Cactaceae
Old Man Cactus |   | Cephalocereus senilis | Cactaceae
Old World Orchid | Cirrhopetalum  | Bulbophyllum appendiculatum | Orchidaceae
Orange Star |   | Guzmania lingulata minor | Bromeliaceae
Oregon Grape | Mountain Grape, Oregon Grape Holly, Mahonia Aguifolium, Holly-Leaved Berry, Mahonia  | Mahonia aquifolium | Berberidaceae
Ossifragi Vase | Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Neoregelia, Miniature Marble Plant, Aregelia  | Neoregalia spp. | Bromiliaceae
Paddys Wig | Japanese moss, Peace-in-the-home, Corsican Carpet, Angel's Tears, Irish Moss, Mind-your-own-business, Pollyanna vine, Baby Tears  | Soleirolia soleirolii | Urticaceae
Painted Lady | Copper Rose  | Echeveria multicaulis | Crassulaceae
Pampas Grass |   | Cortaderia selloana | Poaceae
Panamiga | Friendship Plant  | Pilea involucrata | Urticaceae
Pansy Orchid |   | Miltonia roezlii alba | Orchidaceae
Paradise Palm | Kentia palm, Forster Senty Palm  | Howea forsteriana | Howea forsteriana
Parlor Palm | Miniature Fish Tail Dwarf Palm, Good Luck Palm, Bamboo Palm  | Chamaedorea elegans | Palmae
Parsley Fern | King and Queen Fern, Spleenwort, Mother Fern, Hen and Chickens Fern  | Asplenium bulbiferum | Polypodaceae
Patient Lucy | Giant Touch-Me-Not, Impatience Plant, Patient Plant, Tangerine Impatience, Buzzy Lizzie  | Impatiens spp. | Balsaminaceae
Patient Plant | Giant Touch-Me-Not, Impatience Plant, Patient Lucy, Tangerine Impatience, Buzzy Lizzie  | Impatiens spp. | Balsaminaceae
Peacock Plant | Peacock Ginger, Kaempferia  | Kaempferia | Zingiberaceae
Pearl Plant |   | Haworthia margaritifera | Liliaceae
Pearly Dots |   | Haworthia margaritifera | Liliaceae
Peperomia Hederifolia | Plantinum Peperomia, Silver Leaf Peperomia, Ivy Leaf Peperomia, Ivy Peperomia  | Peperomia griseoargentea | Piperaceae
Peperomia Peltfolia |   | Peperomia peltifolia | Piperaceae
Peperomia Rotundifolia |   | Peperomia rotundifolia | Piperaceae
Peperomia Sandersii |   | Peperomia sandersii | Piperaceae
Pepper Face | Baby Rubber Plant, American Rubber Plant  | Peperomia obtusifolia | Pipericeae
Persian Violet | Arabian gentian, German Violet  | Exacum affine | Gentianaceae
Peruvian Lily | Lily of the Incas, Princess Lily, Alstromeria  | Alstroemeria | Liliaceae
Petunia |   | Petunia species | Solanaceae
Phalaenopsis Orchid | Moth Orchid, Moon Orchid  | Phalaenopsis sp. | Orchidaceae
Pheasant Plant | Zebra Plant  | Cryptanthus zonatus | Bromeliaceae
Piggy Back Plant | Pick-a-back plant, Mother of Thousands, Curiosity plant  | Tolmeia menziesii | Saxifragaceae
Pignut Hickory |   | Carya glabra | Juglandaceae
Pilea Microphylla | Artillery Plant  | Pilea microphylla | Urticaceae
Pilea Mucosa | Artillery Plant  | Pilea microphylla | Urticaceae
Pincushion Flower |   | Leucospermum incisum | Protaeceae
Pink Brocade |   | Episcia cultivar | Gesneriaceae
Pink Splash | Flamingo Plant, Polka Dot Plant, Measles Plant, Baby’s Tears, Freckle Face  | Hypoestes phyllostachya | Acanthaceae
Pink Starlite | Starfish Plant, Green Earth Star, Vary-Leaf Star, Earth Star, Rose-stripe Star  | Cryptanthus bivattus minor | Bromeliaceae
Pirliteiro | Haws  | Crataegus species | Rosaceae
Pitaya | Queen of the Night, Night Blooming Cereus, Honolulu Queen  | Hylocereus undatus | Cactaceae
Plantanus Occidentalis | oriental plane  | Plantanus occidentalis | Plantanaceae
Platinum Peperomia | Ivy Peperomia, Silver Leaf Peperomia, Ivy Leaf Peperomia  | Peperomia griseoargentea | Piperaceae
Platycerium Alcicorne | Staghorn Fern  | Platycerium alcicorne | Polypodaceae
Plumbago Larpentiae |   | Ceratostigma larpentiae | Plumbaginaceae
Plush Plant |   | Echeveria pul-oliver | Crassulaceae
Poison Ivy | poison oak, poison sumac  | Toxicodendron species | Anacardiaceae
Poison Oak | Similar: Poison Ivy, Poison Sumac  | Toxicodendron species | Anacardiaceae
Poison Sumac | Similar: Poison Ivy, Poison Oak  | Toxicodendron species | Anacardiaceae
Polka Dot Plant | Pink Polka Dot Plant, Measles Plant, Baby’s Tears, Freckle Face  | Hypoestes phyllostachya | Acanthaceae
Polystichum Falcatum | Fishtail Fern  | Cyrtomium falcatum | Polypodaceae
Pony Tail | Elephant-Foot Tree, Pony Tail Plant, Bottle Palm  | Beaucarnea recurvata | Agavaceae
Porcelain Flower | Hindu Rope Plant  | Hoya carnosa 'krinkle kurl' | Asclepiadaceae
Pot Marigold | Marigold, Mary Bud, Gold bloom  | Calendula officinalis | Compositae
Prairie Lily | giant rain lily, hill country rain lily  | Zephyranthes drummondii | Amaryllidaceae
Prayer Plant | Maranta, Peacock Plant, Rattle Snake Plant, Red Veined Prayer, Zebra Plant  | Calathea insignis | Marantaceae
Prostrate Coleus |   | Plectranthus oetendahlii | Lamiaceae
Pupleosier Willow |   | Salix purpurea | Saliaceae
Purple Baby Tears | fairy elephant's feet  | Frithia pulchra | Aizoaceae
Purple Passion Vine | Velvet Plant, Royal Velvet Plant, Purple Velvet Plant  | Gynura aurantica | Asteraceae
Purple Velvet Plant | Velvet Plant, Royal Velvet Plant, Purple Passion Vine  | Gynura aurantica | Asteraceae
Purple Waffle Plant | waffle plant  | Hemigraphis exotica | Acanthaceae
Queencup | Bride's Bonnet  | Clintonia uniflora | Liliaceae
Queens Spiderwort |   | Dichorisandra reginae | Commelinaceae
Queensland Arrowroot | Achira, Canna, Arrowroot  | Canna edulis | Cannaceae
Rabbits Foot Fern | Hare Fern, Squirrel Foot Fern, Deer Foot Fern, Ball Fern  | Davallia spp. | Polypodiaceae
Rainbow Orchid |   | Epidendrum prismatocarpum | Orchidaceae
Red African Violet | Flame African Violet  | Episcia reptans | Gesneriaceae
Red Berried Greenbrier | red-berried-bamboo  | Smilax walteria | Liliaceae
Red Edge Peperomia |   | Peperomia clusiifolia | Piperaceae
Red Hawthorne | Haws, Pirliteiro  | Crataegus species | Rosaceae
Red Maple | Swamp Maple, Scarlet Maple, Water Maple, Soft Maple  | Acer rubrum | Sapindaceae
Red Palm Lily | Red Fruited Palm Lily  | Cordyline rubra | Agavaceae
Red Veined Prayer | Maranta, Prayer Plant  | Calathea insignis | Marantaceae
Reed Palm | Bamboo palm, Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm  | Chamaedorea elegans | Palmae
Resurrection Lily | Peacock Ginger, Kaempferia  | Kaempferia | Zingiberaceae
Rhynchophorum | Pepper Face, Baby Rubber Plant, American Rubber Plant  | Peperomia obtusifolia | Pipericeae
Ribbon Plant | Chlorophytum Comosum  | anthericum, walking anthericum, spider ivy, spider plant  | Chlorophytum comosum | Liliaceae
Roosevelt Fern | Bold Sword Fern  | Nephrolepis biserrata | Dryopteridaceae
Rose |   | Rosa Species | Rosaceae
Rose of China | Hibiscus, Rose of Sharon  | Hibiscus syriacus | Malvaceae
Rose of Sharon | Hibiscus, Rose of China  | Hibiscus syriacus | Malvaceae
Rosemary | Anthos  | Rosmarinus officinalis | Lamiaceae
Russian Knapweed |   | Centaurea repens | Compositae
Russian Olive | Autumn Olive, Silverberry  | elaeagnus species | Elaeagnaceae
Saffron Spike Zebra |   | Aphelandra squarrosa | Acanthaceae
Sage | Common Sage, Garden Sage  | Salvia officinalis | Lamiaceae
Saint Bernards Lily |   | Anthericum liliago | Liliaceae
Salad Burnet | Garden Burnet, Small Burnet, Burnet  | Poterium sanguisorba | Rosaceae
Sand Lily | mountain lily, star lily  | Leucocrinum montanum | Liliaceae
Sand Verbena | Fragrant sand-verbena, snowball sand-verbena, prairie snowball  | Abronia fragrans | Nyctaginaceae
Satin Pellionia |   | Pellonia pulchra | Urticaceae
Savory | Summer  |   | Satureja hortensis | Lamiaceae
Savory | Winter  |   | Satureja hortensis | Lamiaceae
Sawbrier | Wild Sasparilla  | Smilax glauca | Liliaceae
Scabious | Pincushion Flower  | Leucospermum incisum | Protaeceae
Scarborough Lily |   | Vallota speciosa | Amaryllidaceae
Scarlet Orchid | Florida Butterfly Orchid  | Epidendrum tampense | Orchidaceae
Scarlet Sage | Texas Sage  | Salvia coccinea | Labiatae
Sego Lily | Mariposa Lily  | Calochortus gunnisonii | Liliaceae
Shagbark Hickory | Big Shellbark Hickory, Shellbark Hickory, Big Shagbark Hickory  | Carya laciniosa | Juglandaceae
Shan Ku'ei-lai | Cat Brier, China Root, Ti-hu-ling, Shiny Leaf Smilax  | Smilax glabra | Liliaceae
Shellbark Hickory | Big Shellbark Hickory  | Carya laciniosa | Juglandaceae
Shrimp Cactus |   | Schlumbergera russelliana | Cactaceae
Silver Bell | opossum wood, snowbell tree, shittimwood  | Halesia carolina | Styrnaceae
Silver Berry | Autumn Olive, Russian Olive  | elaeagnus species | Elaeagnaceae
Silver Heart |   | Peperomia caperata | Piperaceae
Silver Pink Vine |   | Hoya publcalyx | Asclepiadaceae
Silver Star | Cape Marigold  | Cryptanthus lacerdae | Bromeliaceae
Silver Table Fern |   | Pteris sp. | Pteridaceae
Silver Tree Anamiga |   | NONE LISTED | Family:
Slender Deutzia |   | Deutzia gracilis | Saxifragaceae
Small Fruited Hickory |   | Carya glabra | Juglandaceae
Smilax Tamnoides Vas | Hellfetter, Hagbrier  | Smilax hispida | Liliaceae
Speckled Wood Lily |   | Clintonia umbelluata | Liliaceae
Spice Orchid | Epidendrum atropurpeum  |   | Epidendrum atropurpeum | Orchidaceae
Spice Orchid | Epidendrum ibaguense  | Fiery Reed Orchid  | Epidendrum ibaguense | Orchidaceae
Spider Flower |   | Cleome hasserlana | Capparaceae
Spider Ivy | Ribbon Plant, Anthericum, Spider Ivy  | Chlorophytum comosum | Liliaceae
Spider Plant | Ribbon Plant, Anthericum, Spider Ivy  | Chlorophytum comosum | Asparagaceae
Star Jasmine |   | Trachelospermum jasminoides | Apocynaceae
Star Lily | Mountain Lily, Sand Lily  | Leucocrinum montanum | Liliaceae
Star Plant | Starfish Plant, Green Earth Star, Vary-Leaf Star, Pink Starlite  | Cryptanthus bivattus minor | Bromeliaceae
Stevia | Sweetleaf, Sugar Leaf  | Stevia rebaudiana | Asteraceae
Strawberry | wild strawberry  | Fragaria spp. | Rosaceae
Striped Blushing | Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Neoregelia, Miniature Marble Plant, Aregelia  | Neoregalia spp. | Bromiliaceae
Sudan Grass | Hybrid Sudan  | Sorghum vulgare var sudanesis | Gramineae
Sugar Pods | Carob Tree, Locust Pods, Kharoub, Beans  | Ceratonia siliqua | Family:
Sulfur Flower | Umbrella Plant, Wild Buckweat  | Eriogonium umbellatum | Polygonaceae
Summer Hyacinth |   | Galtonia spp. | Hyacinthaeae
Sunflower | swamp sunflower  | helianthus angustifolius | Compositae
Swamp Sunflower | Sunflower  | helianthus angustifolius | Compositae
Swedish Ivy | Creeping Charlie  | Plectranthus australis | Pilea: Uriticaeae; Plectranthus: Lamiaceae
Sweet Pea | Perennial Pea, Everlasting Pea  | Lathyrus latifolius | Fabaceae
Sweet Potato Vine | Sweet potato  | Ipomoea batatas | Convolvulaceae
Sweetheart Hoya | wax hearts, valentine hoya  | Hoya kerrii | Asclepiadaceae
Sword Fern | Bold Sword Fern, Roosevelt Fern  | Nephrolepis biserrata | Dryopteridaceae
Tailed Orchid |   | Masdevallia spp. | Orchidaceae
Tall Feather Fern | Bold Sword Fern, Sword Fern, Roosevelt Fern  | Nephrolepis biserrata | Dryopteridaceae
Tall Mahonia | Oregon Grape, Oregon Grape Holly, Mahonia Aguifolium, Holly-Leaved Berry, Mahonia  | Mahonia aquifolium | Berberidaceae
Tangerine Impatience | Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience, Impatience Plant, Lady Slipper  | Impatiens spp. | Balsaminaceae
Teasel Gourd | Hedgehog Gourd  | Cucumis dipsaceus | Cucurbitaceae
Texas Sage | Scarlet Sage  | Salvia coccinea | Labiatae
Thea Japonica | Common Camellia, Peony Camellia  | Camellia japonica | Theaceae
Thimble Cactus |   | Mammillaria fragilis | Cactaceae
Thorn Apple | Weisdornbluten, Blackthorn, Black Hawthorn, Thorn Plum, Pirliteiro, Red Hawthorn, May Bush, Oxyacantha, Haw Apple, Black Haw, Aubepine  | Crataegus douglasii | Rosaceae
Thyme | Common Thyme, Garden Thyme, German Thyme  | Thymus vulgaris | Lamiaceae
Ti hu-ling | China Root, Ti-hu-ling, Shiny Leaf Smilax, Cat Brier, Kuang-yen-pa-hsieh  | Smilax glabra | Liliaceae
Tickseed | coreopsis  | Coreopsis californica | Compositae
Tiger Orchid | Golden Lace Orchid, Jewel Orchid  | Haemaria discolor | Orchidaceae
Toad Spotted Cactus |   | Stapelia variegata | Apocynaceae
Torch Lily | red hot poker, poker plant  | Kniphofia | Asphodelaceae
Tous-les-mois | Achira, Canna, Arrowroot  | Canna edulis | Cannaceae
Trailing Peperomia |   | Peperomia prostata | Piperaceae
Tree Cactus |   | Opuntia species | Cactaceae
Tree Gloxinia |   | Kohleria lindeniana | Gesneriaciae
Tropical Moss | Cushion Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss  | Selaginella kraussiana | Selaginellaceae
True Cantaloupe | cantaloupe  | Cucumis melo | Cucurbitaceae
Tu Fu-Ling | Cat Brier, China Root, Ti-hu-ling, Shiny Leaf Smilax  | Smilax glabra | Liliaceae
Tulip Poplar | tulip tree  | Liriodendron tulipifera | Magnoliaceae
Turban Squash |   | Cucurbita maxima cv turbaniformis | Cucurbitaceae
Turf Lily | lilyturf  | Liriope muscari | Asparagaceae
Umbrella Plant | Sulfur Flower, Wild Buckweat  | Eriogonium umbellatum | Polygonaceae
Urbinia Agavoides | Hens and Chickens, Mother Hens and Chicks, Chickens and Hens  | Echeveria elegans | Crassulaceae
Usambara Violet | Kenya Violet  | Santpaulia confusa | Gesneraceae
Variegated Wax Plant |   | Echeveria sp. | Family:
Velvet Plant | Velvet Plant, Royal Velvet Plant, Purple Velvet Plant, Purple Passion Vine  | Gynura aurantica | Asteraceae
Venus Fly Trap |   | Dionaea muscipula | Droseraceae
Verona Fern | Bold Sword Fern, Nephrolepis Biserrata, Verona Lace Fern  | Nephrolepis biserrata | Dryopteridaceae
Verona Lace Fern | Bold Sword Fern, Nephrolepis Biserrata, Verona Fern  | Nephrolepis biserrata | Dryopteridaceae
Vining Peperomia |   | Peperomia serpens variegata | Piperaceae
Violet Slipper Gloxinia | Bright Eyes  | Sinningia speciosa | Gesneriaceae
Waffle Plant | Purple Waffle Plant  | Hemigraphis exotica | Acanthaceae
Walking Anthericum | Ribbon Plant, Spider Plant, Spider Ivy  | Chlorophytum comosum | Liliaceae
Washington Hawthorn | Haws, Pirliteiro, Red Hawthorn  | Crataegus species | Rosaceae
Water Hickory |   | Carya aquatica | Juglandaceae
Water Hyacinth |   | Eichhornia crassipes | Pontederiaceae
Watermelon Begonia |   | Peperomia argyreia | Piperaceae
Watermelon Peperomia | Watermelon Begonia  | Peperomia argyreia | Piperaceae
Watermelon Pilea | Watermelon Plant, Aluminum Plant  | Pilea cadieri | Urticaceae
Wax Plant | Hindu Rope Plant, Porcelain Flower  | Hoya carnosa 'krinkle kurl' | Asclepiadaceae
Wax Rosette | Maroon Chenille Plant, Painted Lady, Copper Rose, Blue Echeveria, Plush Plant  | Echeveria gilva | Crassulaceae
Weeping Bottlebrush | Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush  | Callistemon species | Myrtaceae
Weeping Sargent Hemlock | Many varieties  | Tsuga species | Pinaceae
Weisdornbluten | Haws, Pirliteiro, Red Hawthorn, Washington Hawthorn  | Crataegus species | Rosaceae
West Indian Gherkin | Goareberry Gourd, Gooseberry Gourd, Burr Gourd  | Cucumis anguria | Cucurbitaceae
Western Sword | Sword Fern, Giant Holly Fern, Imbricate Sword Fern  | Ploystichum munitum | Polypodaceae
White Edged Swedish Ivy | Creeping Charlie, Swedish Ivy  | Plectranthus australis | Pilea: Uriticaeae; Plectranthus: Lamiaceae
White Ginger | Butterfly Ginger, Cinnamon Jasmine, Garland Flower, Ginger Lily  | Hedychium coronarium | Family:
White Heart Hickory |   | Carya tomentosa | Juglandaceae
Whitman Fern | Bold Sword Fern, Nephrolepis Biserrata, Verona Fern, Verona Lace Fern  | Nephrolepis biserrata | Dryopteridaceae
Wild Buckwheat | Sulfur Flower, Umbrella Plant  | Eriogonium umbellatum | Polygonaceae
Wild Hyacinth | Blue Dicks  | Dichelostemma pulchellum | Amaryllidaceae
Wild Lantana | Sand Verbena, Prairie Snowball  | Abronia fragrans | Nyctaginaceae
Wild Sasparilla | Sawbrier  | Smilax glauca | Liliaceae
Wild Strawberry | Strawberry  | Fragaria | Rosaceae
Willow Herb | Blooming Sally, Fire Weed  | Epilobium angustifolium | Onagraceae
Windmill Palm | Chusan Palm  | Trachycarpus fortunei | Palmea
Winter Cattleya | Christmas Orchid  | Cattleya trianaei | Orchidaceae
Withered Snapdragon |   | Anthirrhinum multiflorum | Schrophulariaceae
Woolflower |   | Celosia cristata | Amaranthaceae
Yellow Bloodleaf | Chicken Gizzard, Bloodleaf, Joseph's Coat  | Iresine herbstii | Amaranthaceae
Yellow Palm | Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm  | Dypsis lutescens | Palmae
Yellow-Flowered Gourd |   | Cucurbita species | Cucurbitaceae
Yellowrocket |   | Barbarea vulgaris | Brassicaceae
Yorba Linda |   | Peperomia rotundifolia | Piperaceae
Zebra Haworthia |   | Haworthia fasciata | Liliaceae
Zinnia |   | Zinnia species | Asteraceae
Zucchini Squash |   | Cucurbia pepo cv zucchini | Cucurbitaceae
