Plants Non-Toxic to Cats
Broom Hickory | Big Shellbark Hickory, Shellbark Hickory  | Carya laciniosa | Juglandaceae
Bullbrier | Catbrier, Horsebrier, Common Greenbrier  | Smilax rotundifolia | Liliaceae
Bur Gourd | Goareberry Gourd, Gooseberry Gourd, West Indian Gherkin  | Cucumis anguria | Cucurbitaceae
Burro's Tail | Horse's Tail, Donkey's Tail, Lamb's Tail  | Sedum morganianum | Crassulaceae
Buttercup Squash |   | Cucurbita maxima cv buttercup | Cucurbitaceae
Butterfly Ginger | White Ginger, Cinnamon Jasmine, Garland Flower, Ginger Lily  | Hedychium coronarium | Zingiberaceae
Butternut Squash |   | Cucurbita maxima cv butternut | Cucurbitaceae
Buzzy Lizzie | Giant Touch-Me-Not, Impatience Plant, Patient Lucy, Patient Plant, Tangerine Impatience  | Impatiens spp. | Balsaminaceae
Caeroba | Rattle Snake Plant, Peacock Plant, Zebra Plant  | Calathea insignis | Marantaceae
Calathea |   | Calathea spp. | Marantaceae
Calathea Lancifolia 2 |   | Maranta insignis | Marantaceae
Calathea Lancifolia 3 |   | Calathea insignis | Marantaceae
California Pitcher Plant | Cobra Orchid, Cobra Plant, Cobra Lily, Chrysamphora  | Darlingtonia californica | Sarraceniaceae
Callistemon Brachyandrus | Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush, Bottlebrush, Callistemon brachyandrus  | Callistemon species | Myrtaceae
Callistemon citrinus | Crimson Bottlebrush  | Callistemon citrinus | Myrtaceae
Callistemon viminalis | Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush  | Callistemon viminalis | Myrtaceae
Calochortus nuttalli | Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip  | Calochortus spp. | Liliaceae
Camellia | Common Camellia, Peony Camellia  | Camellia japonica | Theaceae
Canada Hemlock |   | Tsuga canadensis | Pinaceae
Canary Date Palm |   | Phoenix canariensis | Palmae
Candle Plant |   | Plectranthus coleoides | Lamiaceae
Candycorn Plant |   | Hypocyrta nummularia | Gesneriaceae
Cane Palm | Golden Butterfly Palm, Areca Palm, Golden Feather Palm, Yellow Palm  | Dypsis lutescens, chrysalidocarpus lutescens | alternate scientific name  | Palmae
